,area,demand,demand_met,energy_purchased,energy_sold,panel_area,pct_dem_met,population,reward_risk,storage,total_prod,wind_mills
0,1300.0,2.5e-05,2.5e-05,3675958.73083,0.925894301823,300.0,0.12142657697,50000.0,2.97164244568,1500.0,1291.68529841,0.0
0,1300.0,2.5e-05,2.5e-05,3677991.11758,1.33862819958,300.0,0.11995819882,50000.0,2.9674408746,1600.0,1291.74774177,0.0
0,1300.0,2.22222222222e-05,2.22222222222e-05,3676941.24429,0.0,300.0,0.119012880697,50000.0,2.97162962888,1700.0,1293.03234046,0.0
0,1300.0,3.05555555556e-05,3.05555555556e-05,3677490.90936,0.0,300.0,0.117958754167,50000.0,2.96759285906,1800.0,1291.71895866,0.0
0,1300.0,1.66666666667e-05,1.66666666667e-05,3677062.62054,0.0,300.0,0.123219686121,50000.0,2.96349337989,1900.0,1291.87507004,0.0
0,1300.0,3.05555555556e-05,3.05555555556e-05,3680327.79905,0.0,300.0,0.113795935494,50000.0,2.96542117124,2000.0,1291.23009362,0.0
0,1300.0,2.22222222222e-05,2.22222222222e-05,3677888.45393,0.0,300.0,0.117961512421,50000.0,2.96292885851,2100.0,1292.06153081,0.0
0,1300.0,1.94444444444e-05,1.94444444444e-05,3678007.64649,0.0,300.0,0.120171852309,50000.0,2.96875342941,2200.0,1291.5216789,0.0
0,1300.0,2.5e-05,2.5e-05,3680730.78001,0.0,300.0,0.121304352038,50000.0,2.96830021632,2300.0,1291.17582641,0.0
0,1300.0,3.88888888889e-05,3.88888888889e-05,3677024.77282,0.0,300.0,0.124009648184,50000.0,2.96628166494,2400.0,1291.6895888,0.0
0,1400.0,5.83333333333e-05,5.83333333333e-05,3523906.36349,9.57427602237,400.0,0.15595181351,50000.0,2.9691396438,0.0,1724.07214242,0.0
0,1400.0,8.05555555556e-05,8.05555555556e-05,3524209.71528,13.4360818323,400.0,0.167483039807,50000.0,2.96526433362,100.0,1723.21286304,0.0
