DMU,(I)Pannel,(I)Wind,(I)Battery
2037,1293.6219363105,21.8920635375623,1791.16883489146
2038,1288.91646061289,21.8124324103719,1883.80098089576
2039,1282.66810565912,21.7066910188466,1973.33554716787
2040,1279.67494203347,21.6560374805664,2067.16721405406
2041,1273.94498582605,21.5590689909023,2155.90689909023
2042,1269.45173966433,21.4830294404732,2245.95307786765
2043,1264.88079966174,21.4056750711986,2335.16455322167
2044,1400,22,1200
2045,1400,22,1300
2046,1390.21657525922,21.8462604683592,1390.21657525922
2047,1382.30726319106,21.7219712787166,1481.04349627613
2048,1377.50448013115,21.6464989734896,1574.2908344356
2049,1374.37733479273,21.5973581181714,1668.88676367688
2050,1368.4851772225,21.5047670706392,1759.48094214321
2051,1364.84992836419,21.4476417314373,1852.29633135141
2052,1356.4172166508,21.3151276902268,1937.73888092971
2053,1353.2917465137,21.266013159501,2029.93761977055
2054,1347.2595469975,21.1712214528178,2117.12214528178
2055,1343.45239031728,21.1113947049858,2207.10035552124
2056,1338.94340456593,21.0405392146074,2295.33155068445
2057,1498.82877449946,21.982822025992,799.37534639971
2058,1493.09481945374,21.8987240186549,895.856891672246
2059,1489.74696441771,21.8496221447931,993.164642945143
2060,1480.98090964114,21.7210533414034,1086.05266707017
2061,1475.53891337528,21.6412373961708,1180.43113070022
2062,1466.9354265114,21.5150529221672,1271.34403630988
2063,1462.35359940927,21.4478527913359,1364.86335944865
2064,1457.51224806901,21.3768463050121,1457.51224806901
2065,1450.981567299,21.281062987052,1547.7136717856
2066,1446.43517665747,21.2143825909762,1639.2932002118
2067,1440.28789828343,21.1242225081569,1728.34547794011
2068,1435.10808119475,21.0482518575231,1817.80356951335
2069,1430.95450897489,20.9873327982984,1907.93934529986
2070,1425.90911545777,20.9133336933806,1996.27276164088
2071,1420.76329997419,20.8378617329549,2083.78617329549
2072,1416.29209440559,20.772284051282,2171.64787808857
2073,1410.12699985881,20.6818626645958,2256.20319977409
2074,1598.1864263281,21.9750633620113,399.546606582025
2075,1593.0458306046,21.9043801708132,497.826822063936
2076,1585.45359643077,21.7999869509231,594.54509866154
2077,1577.96061772425,21.6969584937084,690.35777025436
2078,1572.95681695174,21.6281562330865,786.478408475872
2079,1564.3460831761,21.5097586436713,879.944671786555
2080,1557.66804898204,21.4179356735031,973.542530613776
2081,1552.03427628796,21.3404712989595,1067.02356494797
2082,1545.79652878171,21.2547022707485,1159.34739658628
2083,1539.63935834361,21.1700411772246,1250.95697865418
2084,1532.5602314679,21.0727031826836,1340.99020253441
2085,1528.14914804091,21.0120507855625,1432.63982628835
2086,1524.34899515211,20.9597986833416,1524.34899515211
2087,1516.67279038157,20.8542508677467,1611.46483978042
2088,1511.64969593842,20.7851833191533,1700.60590793073
2089,1505.82845130082,20.7051412053863,1788.17128591972
2090,1500.97986010978,20.6384730765095,1876.22482513723
