DMU,panel_area,wind_mills,storage,demand_met,pct_dem_met,reward_risk,energy_purchased,energy_sold,population,total_prod,area
556,2100,14,1800,0.851844444444,0.940433919477,1.68142711384,182087.840775,3937000.796,50000,21700.9298113,18100
557,2100,14,1900,0.854938888889,0.948254582076,1.68155319351,176496.991653,3944387.37903,50000,21718.2605182,18100
558,2100,14,2000,0.858152777778,0.939088583867,1.67927434131,173014.291764,3943127.35531,50000,21727.5391734,18100
559,2100,14,2100,0.860769444444,0.939687151928,1.68003266252,167879.60444,3945237.55141,50000,21739.4031088,18100
560,2100,14,2200,0.863527777778,0.94105970868,1.6818056251,164398.422249,3930199.51917,50000,21709.5340642,18100
561,2100,14,2300,0.865991666667,0.943477238611,1.67973613359,159147.363376,3928243.3252,50000,21707.35027,18100
562,2100,14,2400,0.868216666667,0.937489633617,1.67552557007,157229.711336,3936582.32978,50000,21737.3507437,18100
563,2200,14,100,0.810041666667,0.955026536019,1.70800154127,258479.178152,4093532.99753,50000,22147.9784929,18200
564,2200,14,200,0.815352777778,0.962257987132,1.70704366626,250499.057845,4095334.38519,50000,22155.8723285,18200
565,2200,14,300,0.816683333333,0.938632256829,1.70766708178,245898.918555,4082707.39959,50000,22119.4687572,18200
566,2200,14,400,0.821761111111,0.959384124802,1.70854216568,235676.101434,4088816.78488,50000,22145.2746654,18200
567,2200,14,500,0.824511111111,0.944464208484,1.7109489314,232663.883169,4089858.17372,50000,22142.609804,18200
568,2200,14,600,0.827966666667,0.950416803552,1.7057341065,226186.419839,4086687.81966,50000,22134.3320688,18200
569,2200,14,700,0.830927777778,0.955751437081,1.70807118971,220043.732953,4077292.86388,50000,22113.7683418,18200
570,2200,14,800,0.833211111111,0.952942854605,1.71389079066,215729.775091,4068196.96439,50000,22083.6258577,18200
571,2200,14,900,0.836805555556,0.951969718284,1.70543799396,208758.259131,4092211.6535,50000,22155.0687101,18200
572,2200,14,1000,0.840308333333,0.948136160854,1.71029602595,204751.509167,4069966.41494,50000,22102.4292232,18200
573,2200,14,1100,0.844091666667,0.95429268506,1.70530551819,197790.575224,4087898.37904,50000,22159.5128684,18200
574,2200,14,1200,0.846733333333,0.943809631003,1.70472942828,192230.347182,4084298.20728,50000,22150.0247984,18200
575,2200,14,1300,0.850033333333,0.942134114245,1.71036621587,186142.770617,4080637.40364,50000,22148.4329568,18200
576,2200,14,1400,0.852769444444,0.947279835121,1.7096737916,182778.506219,4069227.4377,50000,22122.5521273,18200
577,2200,14,1500,0.855194444444,0.958363004667,1.7062934559,178139.849196,4080175.16311,50000,22146.4618253,18200
