DMU,sy1,sy2,sy3
1315,0,0.0607700074493742,0.169570880604096
1316,0,0.0623229536574852,0.175363998808486
1317,0,0.0629597322709407,0.181895874568642
1318,0,0.0702100097501931,0.187833857516985
1319,0,0.0675295210023401,0.194223208096482
1320,0,0.0745953791698466,0.195919850802193
1321,0,0.0749145600095849,0.201634756035749
1322,0,0.0739719420665181,0.20296034806648
1323,0,0.0687461283656427,0.207579929398351
1324,0,0.0723207241854861,0.209153974135666
1325,0,0.0923615537517243,0.222448792859562
1326,0,0.087698549607175,0.219340780450841
1327,0,0,0
1328,0,0.0478617784294431,0.139422644347006
1329,0,0.052277661483017,0.144914644190623
1330,0,0.0600278989782598,0.15218667118299
1331,0,0.0586003010445413,0.1576392839537
1332,0,0.0646959283321077,0.164949272389421
1333,0,0.0569302056061757,0.164691824326879
1334,0,0.0622441277465025,0.166805923369182
1335,0,0.0585841458486247,0.177625897986918
1336,0,0.0661635945948543,0.179811431816292
1337,0,0.0774127847043507,0.184406581594742
1338,0,0.067590431091654,0.188513031981971
1339,0,0.0728304676377914,0.192230361936936
1340,0,0.0645250377529157,0.199432552508637
1341,0,0.074344883208857,0.203549107910297
1342,0,0.0715364285018038,0.210017774999953
1343,0,0.0756374750372948,0.205076179258516
1344,0,0.0892041159888031,0.211580433352452
1345,0,0.0770516832607443,0.218421870820311
1346,0,0.0780199257360962,0.218518487719614
1347,0,0.0883704478488725,0.226509652926979
1348,0,0.0818459525023099,0.22631342766043
1349,0,0.0856876086029911,0.235222697116737
1350,0,0.0919406735506001,0.241709666399868
1351,0,0,0
1352,0,0.015138114679619,0.0150947837320622
1353,0,0,0.0237885743196995
1354,0,0,0.0341143615081321
1355,0,0,0
1356,0,0,0
1357,0,0.0127749961789922,0.00420123081582271
1358,0,0,0.0224819183732402
1359,0,0.000457397291751419,0.0125700434007194
1360,0,0.0141966420534023,0.0204834164886336
1361,0,0,0.0228521995311203
1362,0,0.0130414328650388,0.0321239255075391
1363,0,0.0114044197931382,0.0443303745565673
1364,0,0.00471845685194234,0.0600398941784007
1365,0,0,0
1366,0,0,0
1367,0,0.0023875864599846,0.0128026803671704
1368,0,0.00347218328352952,0.016136142978106
1369,0,0.00468912702307423,0.019903308145981
1370,0,0.0081902953074326,0.0284880339225757
1371,0,0.0154377654676667,0.0320338568872227
1372,0,0.0066243323331331,0.040218867344612
1373,0,0.0137287703224672,0.0402670889010607
1374,0,0.0102501739140953,0.0385990636250474
1375,0,0.00532230440952075,0.0528043246831527
1376,0,0.0298454848723191,0.0591730258823999
1377,0,0.0289061850911474,0.0664117204327535
1378,0,0.0392362244678365,0.0800458078783608
1379,0,0.0442665530714145,0.0896233325686189
1380,0,0.0117397347058827,0.00664792581333797
1381,0,0,0.00918017492242295
1382,0,0,0.0182557078880635
1383,0,0.0043332184692253,0.0215694245256908
1384,0,0.0127382712366522,0.0303547220075941
1385,0,0.0147802584309684,0.0378169379749079
1386,0,0.0142462902049554,0.0426950004555895
1387,0,0.0223615019797527,0.0534296339463204
1388,0,0.0163511989130728,0.0529884150627026
1389,0,0.0412845635340065,0.0600788601881353
1390,0,0.0305463497788756,0.0651426630849745
1391,0,0.0323986058532729,0.0655359925410614
1392,0,0.0217631895003574,0.0692777016442957
1393,0,0.0270119867354116,0.0746768021293467
1394,0,0.0387256757354131,0.0826572925526466
1395,0,0.0412182703062588,0.0909649726752327
1396,0,0.0255063873689681,0.0971177105906142
1397,0,0.0354093140943448,0.105630778264198
1398,0,0,0
1399,0,0,0
1400,0,0,0.00860342673853345
1401,0,0,0.0176295318854517
1402,0,0.00425665265300007,0.0215767349527522
1403,0,0.00370231854179621,0.0293393689435298
