DMU,V1
1183,1157
1184,1246
1185,1284
1186,1329
1187,69.5
1188,276
1189,400
1190,452
1191,544
1192,640
1193,739
1194,781
1195,898
1196,956
1197,1034
1198,1111
1199,1141
1200,1242
1201,1292
1202,1393
1203,1460
1204,1509
1205,1563
1206,1636
1207,69.5
1208,294
1209,386
1210,468
1211,556
1212,682
1213,753
1214,841
1215,905
1216,1019
1217,1083
1218,1124
1219,1213
1220,1285
1221,1360
1222,1426
1223,1476
1224,1546
1225,1598
1226,1646
1227,1746
1228,1781
1229,1834
1230,1901
1231,152
1232,722
1233,795
1234,887
1235,936
1236,989
1237,1082
1238,1180
1239,1234
1240,1302
1241,1369
1242,1455
1243,1517
1244,1568
1245,1640
1246,1681
1247,1750
1248,1791
1249,1861
1250,1920
1251,1966
1252,2008
1253,2048
1254,2093
1255,69.5
1256,1070
1257,1125
1258,1215
1259,1291
1260,1357
1261,1429
1262,1469
1263,1557
1264,1610
1265,1670
1266,1732
1267,1774
1268,1823
1269,1882
1270,1944
1271,1972
1272,2017
1273,2064
1274,2124
1275,2143
1276,2199
1277,2237
1278,2275
1279,69.5
1280,1399
1281,1427
1282,1523
1283,1603
1284,1648
1285,1690
1286,1757
1287,1817
1288,1856
1289,1904
1290,1959
1291,2003
1292,2047
1293,2112
1294,2150
1295,2185
1296,2225
1297,2269
1298,2289
1299,2335
1300,2372
1301,2396
1302,2438
1303,69.5
1304,1677
1305,1737
1306,1788
1307,1827
1308,1881
1309,1949
1310,2005
1311,2033
1312,2082
1313,2133
1314,2171
1315,2208
1316,2241
1317,2307
1318,2328
1319,2367
1320,2402
1321,2425
1322,2453
1323,2488
1324,2518
1325,2550
1326,2567
1327,69.5
1328,1910
1329,1954
1330,2002
1331,2052
1332,2106
1333,2145
1334,2197
1335,2239
1336,2272
1337,2306
1338,2347
1339,2385
1340,2414
1341,2448
1342,2480
1343,2511
1344,2533
1345,2562
1346,2586
1347,2610
1348,2632
1349,2658
1350,2674
1351,69.5
1352,205
1353,342
1354,414
1355,493
1356,69.5
1357,253
1358,270
1359,410
1360,513
1361,588
1362,696
1363,703
1364,807
1365,836
1366,147
1367,264
1368,380
1369,454
1370,563
1371,658
1372,735
1373,787
1374,889
1375,960
1376,1039
1377,1100
1378,1133
1379,1262
1380,196
1381,297
1382,412
1383,478
1384,561
1385,685
1386,759
1387,852
1388,921
1389,995
1390,1093
1391,1136
1392,1199
1393,1298
1394,1345
1395,1412
1396,1471
1397,1527
1398,69.5
1399,69.5
1400,312
1401,387
1402,497
1403,618
1404,711
1405,810
1406,870
1407,929
1408,1043
1409,1095
1410,1185
1411,1249
1412,1328
1413,1386
1414,1440
1415,1494
1416,1574
1417,1616
1418,1684
1419,1753
1420,1799
1421,69.5
1422,558
1423,639
1424,736
1425,802
1426,935
1427,961
1428,1067
1429,1152
1430,1205
1431,1310
1432,1349
1433,1419
1434,1470
1435,1558
1436,1600
1437,1667
1438,1731
1439,1785
