DMU,V1
1869,1499
1870,909
1871,948
1872,2614
1873,1441
1874,1685
1875,1666
1876,741
1877,1724
1878,929
1879,2134
1880,626
1881,1308
1882,1269
1883,2193
1884,1092
1885,1111
1886,1480
1887,1053
1888,1903
1889,2154
1890,2653
1891,2115
1892,1942
1893,2378
1894,890
1895,1962
1896,1519
1897,1131
1898,1705
1899,490
1900,910
1901,1230
1902,2417
1903,761
1904,1289
1905,607
1906,2673
1907,1112
1908,1647
1909,2174
1910,1328
1911,2634
1912,1461
1913,2437
1914,1686
1915,1500
1916,2359
1917,1923
1918,2398
1919,1073
1920,1250
1921,742
1922,2135
1923,930
1924,949
1925,2713
1926,1884
1927,608
1928,491
1929,1725
1930,891
1931,627
1932,2155
1933,2693
1934,1132
1935,1054
1936,2194
1937,1481
1938,2116
1939,1667
1940,1093
1941,1904
1942,1943
1943,2635
1944,1270
1945,2360
1946,781
1947,1462
1948,2654
1949,1309
1950,1706
1951,1520
1952,2418
1953,743
1954,1329
1955,2379
1956,892
1957,1648
1958,1442
1959,1290
1960,911
1961,1963
1962,492
1963,1074
1964,950
1965,762
1966,1251
1967,782
1968,1885
1969,1668
1970,1687
1971,609
1972,1271
1973,2438
1974,2136
1975,1113
1976,2380
1977,1501
1978,1726
1979,2175
1980,2655
1981,2674
1982,1924
1983,2399
1984,628
1985,2458
1986,2117
1987,931
1988,1133
1989,1443
1990,1094
1991,2419
1992,1482
1993,1707
1994,951
1995,1944
1996,1746
1997,2694
1998,1905
1999,763
2000,1075
2001,2714
2002,1330
2003,1291
2004,912
2005,1310
2006,2636
2007,2156
2008,1252
2009,2195
2010,1502
2011,2176
2012,493
2013,1463
2014,744
2015,1886
2016,1964
2017,1272
2018,610
2019,1688
2020,2400
2021,1521
2022,1095
2023,1114
2024,932
2025,2439
2026,2675
2027,629
2028,1925
2029,2137
2030,494
2031,783
2032,2118
2033,1311
2034,1483
2035,1708
2036,2656
2037,2196
2038,1945
2039,1727
2040,1076
2041,764
2042,1747
2043,1522
2044,1444
2045,913
2046,2381
2047,1292
2048,1253
2049,1464
2050,1134
2051,2157
2052,1331
2053,1906
2054,2459
2055,2637
2056,1669
2057,1115
