DMU,(O)Demand,(O)PctDemand s,(O)Risk
1222,0.850111,0.992570889602237,1.58396372830491
1223,0.853556,0.994247674562279,1.59106516860499
1224,0.855747,0.994479270338069,1.59582458599165
1225,0.858694,0.995605985681407,1.60198899799137
1226,0.862042,0.997210803055976,1.60889768867032
1227,0.862381,0.995354510442595,1.61018470898587
1228,0.865869,0.997151786894112,1.61734581502764
1229,0.868411,0.997872631677101,1.62273611630279
1230,0.870219,0.997767035813077,1.62674990321289
1231,0.817744,0.948708,1.513418
1232,0.819564,0.958474220426824,1.55897763504497
1233,0.823456,0.963276353675786,1.56590632832321
1234,0.826258,0.966801668896102,1.57076554426988
1235,0.830681,0.97328030987018,1.57701476331374
1236,0.834686,0.98037562832052,1.58037968237556
1237,0.837108,0.982447894278717,1.58510135819461
1238,0.839169,0.984103324200158,1.58913826079865
1239,0.842878,0.987696927877787,1.59629501319803
1240,0.845494,0.990014665378618,1.60138090702491
1241,0.848756,0.993094045298086,1.60768941791716
1242,0.850803,0.994752208424302,1.61169092239532
1243,0.853717,0.997310818263318,1.61722831342115
1244,0.857281,1.00063390091136,1.62399691877142
1245,0.859119,1.00094001691319,1.62781800656366
1246,0.86265,1.00282874645586,1.63497320354466
1247,0.864444,1.00271324611259,1.6388331397542
1248,0.867639,1.00423845081152,1.64534586307163
1249,0.869067,1.00373466268623,1.64850435452328
1250,0.871108,1.00395761093824,1.65282170896609
1251,0.874056,1.00524059010681,1.65885691349358
1252,0.877097,1.00702496053522,1.66518772919846
1253,0.879586,1.00923406731652,1.67080054743472
1254,0.882014,1.01137746800071,1.67629163152947
1255,0.831686,0.959964,1.540398
1256,0.833228,0.97477805284965,1.60952620282901
1257,0.836978,0.979409387275806,1.6161216322381
1258,0.839592,0.984672255995813,1.61725042781232
1259,0.842039,0.986788054714166,1.62190413762834
1260,0.845264,0.989821071774844,1.62805683635408
1261,0.848053,0.992348585521913,1.63337015994945
1262,0.852172,0.996389865009654,1.64120404716656
1263,0.85355,0.997154430949432,1.64369113499037
1264,0.8569,1.00022961311023,1.64997707367971
1265,0.859644,1.00260280233159,1.65509720597141
1266,0.862025,1.00455881341225,1.65951966333018
1267,0.865292,1.00700995011244,1.66582456625841
1268,0.868358,1.00837991975966,1.67201902840979
1269,0.870303,1.00846342943236,1.67605297869625
1270,0.872072,1.00836122799836,1.67974556259118
1271,0.875842,1.01058618851884,1.68729059692481
1272,0.878844,1.01279531669066,1.69362961932742
1273,0.880728,1.01429563350028,1.6979929363322
1274,0.881972,1.01506465868049,1.70111607056161
1275,0.886122,1.01918219167761,1.70983984459533
1276,0.887328,1.01991757887367,1.71287865928373
1277,0.889778,1.02208795362982,1.71831329243134
1278,0.892014,1.02401677399891,1.72332999447819
1279,0.842492,0.967884,1.56888308263157
1280,0.84525,0.989707952184265,1.65525621261358
1281,0.849969,0.994667513519036,1.66401347277995
1282,0.851217,0.99531007276537,1.66613579556329
1283,0.853144,0.996718637882517,1.66955843601031
1284,0.856783,1.00013328393005,1.67633383967956
1285,0.8604,1.00352645954925,1.68306794004571
1286,0.862614,1.00528872877003,1.68705983359749
1287,0.865192,1.00748155818141,1.69176624858844
1288,0.868381,1.01039119759432,1.69766959306067
1289,0.871467,1.0131007029322,1.70340138246807
1290,0.873519,1.01331541257316,1.70753941102297
1291,0.87635,1.01444890420864,1.71319933000666
1292,0.878683,1.01635470010103,1.71831342561688
1293,0.880028,1.01721897198107,1.72152147188277
1294,0.882469,1.01935552058633,1.72686899989264
1295,0.885256,1.0218959482332,1.73289008502559
1296,0.887719,1.02406648082192,1.73827350124141
1297,0.889286,1.0252083501298,1.74189828704674
1298,0.893039,1.0288742550166,1.749801649362
1299,0.894619,1.03004046658025,1.75344408126509
1300,0.896519,1.03158022859138,1.75770943887591
1301,0.899481,1.0343460152107,1.76405357626355
1302,0.900625,1.03502571036339,1.76682851470939
1303,0.854242,0.960745847034666,1.589986
1304,0.856675,1.00231923761661,1.70435322235674
1305,0.85935,1.00443588981172,1.70901036324207
1306,0.862086,1.00663109695046,1.71379357748422
1307,0.865864,1.01004886001176,1.72065208246544
1308,0.868386,1.01200743541803,1.72501856664828
1309,0.870183,1.01312917260178,1.72795015789899
1310,0.872539,1.01490983649648,1.73199708747494
1311,0.876019,1.01800400687951,1.73827917220139
1312,0.878517,1.0200107982058,1.74340758357884
1313,0.8804,1.02136650087391,1.74703656927364
1314,0.883114,1.02380368459383,1.75282050218678
1315,0.885903,1.02633700744937,1.7587738806041
1316,0.888544,1.02870295365749,1.76443099880849
1317,0.888775,1.02828473227094,1.76529887456864
1318,0.892103,1.03145500975019,1.77231485751698
1319,0.893947,1.03291352100234,1.77638020809648
1320,0.896006,1.03462537916985,1.78086985080219
1321,0.898894,1.03729856000958,1.78700475603575
1322,0.901461,1.03960494206652,1.79249934806648
1323,0.903556,1.04137112836564,1.79705292939835
1324,0.905269,1.04270172418549,1.80084397413567
1325,0.906819,1.04384955375172,1.80430779285956
1326,0.909467,1.04626554960717,1.80995378045084
1327,0.864819,0.965578,1.610709
1328,0.867447,1.01640077842944,1.75341564434701
1329,0.870558,1.01903766148302,1.75886664419062
1330,0.873311,1.02126189897826,1.76359967118299
1331,0.875633,1.02298930104454,1.7674682839537
1332,0.878019,1.02479892833211,1.77147227238942
1333,0.880558,1.02679420560618,1.77579082432688
1334,0.882775,1.0284211277465,1.77946592336918
1335,0.885,1.03005914584862,1.78575689798692
1336,0.887539,1.03215859459485,1.79116943181629
1337,0.890564,1.03484778470435,1.79698858159474
1338,0.89215,1.03587043109165,1.79990603198197
1339,0.894058,1.03727346763779,1.80347536193694
1340,0.896722,1.03955903775292,1.80857155250864
1341,0.898828,1.04120288320886,1.8125441079103
1342,0.9007,1.0425814285018,1.81604677499995
1343,0.902742,1.04416247503729,1.81989417925852
1344,0.905356,1.0464101159888,1.82489643335245
1345,0.906814,1.04740968326074,1.82794687082031
1346,0.909128,1.0494319257361,1.83285448771961
1347,0.911444,1.05146044784887,1.83776465292698
1348,0.913342,1.05301095250231,1.84183042766043
1349,0.914358,1.05354960860299,1.84411569711674
1350,0.916706,1.0556276735506,1.84908566639987
1351,0.801128,0.922401,1.349108
1352,0.80565,0.914522114679619,1.36585678373206
1353,0.807233,0.917037,1.3736215743197
1354,0.810061,0.919163,1.38495336150813
1355,0.812772,0.916617,1.352352
1356,0.8006,0.918818,1.379393
1357,0.802672,0.919234996178992,1.38162723081582
1358,0.806583,0.932072,1.39511091837324
1359,0.809783,0.923508397291751,1.39123104340072
1360,0.8124,0.924593642053402,1.39443341648863
1361,0.814628,0.936927,1.39938019953112
1362,0.817367,0.929347432865039,1.40981792550754
1363,0.822669,0.935350419793138,1.42372837455657
1364,0.824642,0.937384456851942,1.4320748941784
1365,0.828856,0.906711,1.375563
1366,0.802508,0.929794,1.405854
1367,0.805064,0.931555586459985,1.40910068036717
1368,0.807711,0.933605183283529,1.41422514297811
1369,0.811317,0.936550127023074,1.42181830814598
1370,0.813931,0.938325295307433,1.42778403392258
1371,0.817111,0.939609765467667,1.43181585688722
1372,0.820242,0.940330332333133,1.43444686734461
1373,0.824486,0.942342770322467,1.43904008890106
1374,0.826611,0.942002173914095,1.44033406362505
1375,0.829744,0.944903304409521,1.44949232468315
1376,0.832078,0.947526484872319,1.4581460258824
1377,0.835106,0.950940185091147,1.46798572043275
1378,0.838986,0.955324224467836,1.47930180787836
1379,0.839281,0.955183553071414,1.48479433256862
1380,0.803128,0.936365734705883,1.42666392581334
1381,0.805958,0.945017,1.43286517492242
1382,0.809167,0.944677,1.43815570788806
1383,0.813122,0.947340218469225,1.44529242452569
1384,0.816578,0.950312271236652,1.45175772200759
1385,0.818681,0.951533258430968,1.45648293797491
1386,0.822094,0.954220290204955,1.46377000045559
1387,0.825025,0.956356501979753,1.47019063394632
1388,0.828072,0.958636198913073,1.4768094150627
1389,0.831386,0.960615563534006,1.48233386018814
1390,0.833403,0.960079349778876,1.48293966308497
1391,0.837231,0.961649605853273,1.48678899254106
1392,0.840736,0.963208189500357,1.4927067016443
1393,0.842064,0.962487986735412,1.49625480212935
1394,0.845883,0.964631675735413,1.50422029255265
1395,0.84805,0.967060270306259,1.51239697267523
1396,0.851081,0.970474387368968,1.52208671059061
1397,0.853617,0.973324314094345,1.5308657782642
1398,0.800494,0.935096,1.443341
1399,0.804542,0.959152,1.449214
1400,0.807453,0.947177,1.45634442673853
1401,0.811622,0.9505440000000001,1.46380153188545
1402,0.814503,0.952508652653,1.46917973495275
1403,0.817011,0.955694318541796,1.47384336894353
1404,0.819894,0.959316437773691,1.47918226529652
1405,0.822764,0.962921304870062,1.48449657912106
1406,0.827017,0.96754065092498,1.49252278358295
1407,0.830378,0.970157268715997,1.49964241419845
1408,0.832122,0.970895288457635,1.50383329311494
1409,0.835944,0.974067536262695,1.51177183417391
1410,0.838233,0.975462112104285,1.51693109306177
1411,0.841606,0.97812728747853,1.52404472217462
1412,0.843672,0.979184709893032,1.52853618641422
1413,0.847064,0.98026637808276,1.53156793899127
1414,0.850292,0.981272229107799,1.53506300246251
1415,0.853317,0.982497190903017,1.54153334282326
1416,0.855319,0.982560844226048,1.5461482393713
1417,0.858547,0.984048610806293,1.55297235485413
1418,0.860831,0.984469064195082,1.55808238949357
1419,0.862628,0.984954645856257,1.56319035514278
1420,0.8653,0.98795645635858,1.57208279901749
1421,0.812078,0.935145,1.468848
