DMU,u1,u2,u3
1588,0.00034904070740456,0.0187236774477536,7.45125768862588e-05
1589,0.000346594607120139,0.018586606892714,7.37164907534966e-05
1590,0.000333684718187166,0.0191433124959831,7.56710918007932e-05
1591,0.000331178653160588,0.0189995408956543,7.51027808583108e-05
1592,0.00032870995002631,0.0188579127269566,7.45429426298247e-05
1593,0.000326277779446841,0.0187183804112447,7.39913890429716e-05
1594,0.000323881336449939,0.018580897767695,7.3447937550799e-05
1595,0.000319920034421468,0.0186530404191098,7.191696033966e-05
1596,0.000326205874391608,0.0179855834901626,6.96229006883378e-05
1597,0.000323950437477961,0.0178612284368,6.91415173884798e-05
1598,0.000321725975266638,0.0177385811947873,6.86667450934906e-05
1599,0.000319531854029648,0.0176176068230994,6.81984485452875e-05
1600,0.000315505666015021,0.0180177853943312,6.42072507092104e-05
1601,0.000313492814839229,0.0179028362050688,6.37976237072083e-05
1602,0.00031150548387493,0.0177893444149704,6.33931902176974e-05
1603,0.000309543190837197,0.0176772824818798,6.29938520928706e-05
1604,0.000366479783742593,0.0171890615901413,8.30078395869158e-05
1605,0.000345361561902219,0.0185605782737031,8.33475585843332e-05
1606,0.000337465208587165,0.0189432507609161,7.9073550305829e-05
1607,0.000331086351650374,0.0191300162810461,7.79326808192055e-05
1608,0.000328526059992951,0.0189820838131368,7.73300271865584e-05
1609,0.000327709185832007,0.0188004994243324,7.43159951099337e-05
1610,0.000325291747837845,0.0186618123091018,7.3767782493627e-05
1611,0.000322909714479564,0.018525156338756,7.32275987360181e-05
1612,0.000320562313632309,0.0183904872169081,7.26952687390948e-05
1613,0.000318248795461115,0.0182577619259301,7.21706224596178e-05
1614,0.000314356626671793,0.0183246241157061,7.07866088170219e-05
1615,0.000312147043604888,0.0181958220618663,7.02890564229092e-05
1616,0.000309968305632496,0.018068818044762,6.9798449705948e-05
1617,0.000307857056055392,0.0179497045888166,6.92052428997065e-05
1618,0.000305741166883531,0.0178263369906714,6.87295980469824e-05
1619,0.000303654164019694,0.0177046536179988,6.82604467402857e-05
1620,0.000300976344875595,0.0177517607555083,6.66524993006609e-05
1621,0.000305855743993696,0.0174667010786411,6.22434350656648e-05
1622,0.000303963769081383,0.0173586548480548,6.18584070911604e-05
1623,0.000302095057178664,0.0172519371131492,6.14781132753423e-05
1624,0.000300249181857358,0.0171465235216152,6.1102466837578e-05
1625,0.000346871498971552,0.0181668442057237,0.000122944177367326
1626,0.000333594340752362,0.019142566031021,8.33943301266421e-05
1627,0.000339299419798661,0.0182347838731921,8.18845563285534e-05
1628,0.0003315204466621,0.0186095478694924,7.76805965459266e-05
1629,0.000325384924784798,0.0188005904734886,7.65906518351833e-05
1630,0.00032291172285096,0.0186576900095318,7.60084977960619e-05
1631,0.000320475834177383,0.0185169454884965,7.5435126729684e-05
1632,0.000318076420667109,0.0183783084855282,7.48703413607994e-05
1633,0.000315712669136094,0.018241732015229,7.4313950278279e-05
1634,0.000315043638264229,0.0180738837844554,7.14437754352794e-05
1635,0.000312808813998083,0.0179456731204105,7.0936974904764e-05
1636,0.000309017320070445,0.0180133827477601,6.95843074316645e-05
1637,0.000306881903597927,0.0178889040478719,6.9103455820226e-05
1638,0.000304775797512082,0.0177661339228088,6.86292043014835e-05
1639,0.000302698402461655,0.017645037434906,6.81614179139341e-05
1640,0.000300649135325814,0.0175255805926103,6.76999653508304e-05
1641,0.000298662519650038,0.0174136141888696,6.71383416779646e-05
1642,0.000296670721622623,0.0172974817647804,6.66905921020393e-05
1643,0.00029470531443112,0.0171828880668601,6.6248775098306e-05
1644,0.000292182347380422,0.0172330856427403,6.47050309302168e-05
1645,0.000290303934871917,0.0171222957749687,6.42890484434164e-05
1646,0.00028844952035317,0.0170129213226611,6.38783804141232e-05
1647,0.000293236526650139,0.0167460473014446,5.9675350435155e-05
1648,0.000291497008039583,0.016646707491132,5.93213482108789e-05
1649,0.000155248964453398,0.00530311604316999,0.00598964646675143
1650,0.00032334650938183,0.0184363419883876,8.45739620338561e-05
1651,0.000319260041292632,0.0185409496600464,7.52897611435699e-05
1652,0.000316874302239815,0.0184023984417317,7.47271422742926e-05
1653,0.000314523954609339,0.0182659025717073,7.41728696162222e-05
1654,0.000312208216674488,0.0181314166513832,7.36267588180148e-05
1655,0.000309926329562681,0.017998896609418,7.30886309179215e-05
1656,0.000307677556426344,0.017868299653567,7.25583121482584e-05
1657,0.000305461181649613,0.017739584224612,7.20356337483275e-05
1658,0.000300526476041825,0.0179761570922163,6.94765536762075e-05
1659,0.000301791436780744,0.017592168165489,6.79571880061863e-05
1660,0.000299754390235454,0.0174734236915969,6.7498487267251e-05
1661,0.000297744658829166,0.0173562714846157,6.7045937332515e-05
1662,0.000295761696810197,0.017240679731332,6.65994153099895e-05
1663,0.00029380497286937,0.0171266174604219,6.61588015598399e-05
1664,0.000291873969665412,0.0170140545147847,6.57239795875146e-05
1665,0.000290001268689195,0.016908617168146,6.51913212515341e-05
1666,0.000288122957063807,0.0167991016051978,6.47690830415618e-05
1667,0.00028568369143236,0.0168497911161554,6.32658757660048e-05
1668,0.000283887651344215,0.0167438596218872,6.28681350041233e-05
1669,0.000282114052907739,0.0166392517493526,6.24753640420209e-05
1670,0.000280362478119316,0.0165359428444541,6.20874703110078e-05
1671,0.000278632519292391,0.0164339088616003,6.17043635271528e-05
1672,0.000276923778741116,0.0163331263450473,6.13259556212226e-05
1673,0.00014490501152232,0.00722806906217298,0.00565628595711906
1674,0.000311656547765762,0.0180993786129733,7.34966610450517e-05
1675,0.000309382688308183,0.0179673247750852,7.2960426273102e-05
1676,0.000307141768869881,0.0178371839208475,7.24319596082208e-05
1677,0.000304933078825014,0.0177089147808364,7.19110934664861e-05
1678,0.000302755927842552,0.0175824772642443,7.1397665050016e-05
1679,0.000300609645166909,0.0174578324171027,7.08915161773244e-05
1680,0.000298493578928962,0.0173349423822702,7.03924931208405e-05
1681,0.000293935089272003,0.0175392998743725,6.8159804409491e-05
1682,0.000291758364721283,0.0174516876724965,6.74495171075034e-05
1683,0.000289803653075689,0.0173347655161727,6.69976213865162e-05
1684,0.000287874959322554,0.0172193996344515,6.65517405548852e-05
1685,0.000285971767435316,0.0171055591609192,6.61117553161425e-05
1686,0.000287265484108697,0.0167454145103937,6.46862439819514e-05
1687,0.000285419214414622,0.0166377908903085,6.42705022430578e-05
1688,0.00028359652530306,0.0165315418406136,6.38600703635039e-05
1689,0.000281796967883335,0.0164266411943628,6.34548472623956e-05
1690,0.000280053959567019,0.0163286361130273,6.29551992252306e-05
