DMU,peer1,peer2,peer3,peer4,peer5
534,188,301,371,NA,NA
535,188,301,371,NA,NA
536,175,179,371,NA,NA
537,175,263,371,NA,NA
538,263,370,371,NA,NA
539,263,370,371,NA,NA
540,263,370,371,NA,NA
541,423,523,659,676,NA
542,423,523,659,676,NA
543,301,423,659,NA,NA
544,301,423,659,NA,NA
545,301,371,659,NA,NA
546,301,371,659,NA,NA
547,301,371,659,NA,NA
548,301,371,659,NA,NA
549,301,371,659,NA,NA
550,301,371,659,NA,NA
551,301,371,659,NA,NA
552,301,371,659,NA,NA
553,301,371,659,NA,NA
554,188,301,371,NA,NA
555,188,301,371,NA,NA
556,188,301,371,NA,NA
557,179,188,371,NA,NA
558,175,179,371,NA,NA
559,175,179,371,NA,NA
560,175,263,371,NA,NA
561,175,263,371,NA,NA
562,175,263,371,NA,NA
563,563,NA,NA,NA,NA
564,423,659,676,845,NA
565,301,423,659,NA,NA
566,301,423,659,NA,NA
567,301,423,659,NA,NA
568,301,371,659,NA,NA
569,301,371,659,NA,NA
570,301,371,659,NA,NA
571,301,371,659,NA,NA
572,301,371,659,NA,NA
573,301,371,659,NA,NA
574,301,371,659,NA,NA
575,301,371,659,NA,NA
576,188,301,371,NA,NA
577,188,301,371,NA,NA
578,188,301,371,NA,NA
579,188,301,371,NA,NA
580,179,188,371,NA,NA
581,179,188,371,NA,NA
582,175,179,371,NA,NA
583,175,179,371,NA,NA
584,175,179,371,NA,NA
585,175,179,371,NA,NA
586,175,263,371,NA,NA
587,587,NA,NA,NA,NA
588,301,423,659,NA,NA
589,301,423,659,NA,NA
590,301,423,659,NA,NA
591,301,423,659,NA,NA
592,301,371,659,NA,NA
593,301,371,659,NA,NA
594,301,371,659,NA,NA
595,301,371,659,NA,NA
596,301,371,659,NA,NA
597,188,301,371,NA,NA
598,188,301,371,NA,NA
599,188,301,371,NA,NA
600,188,301,371,NA,NA
601,188,301,371,NA,NA
602,188,301,371,NA,NA
603,188,301,371,NA,NA
604,179,188,371,NA,NA
605,179,188,371,NA,NA
606,175,179,371,NA,NA
607,175,179,371,NA,NA
608,175,179,371,NA,NA
609,175,179,371,NA,NA
610,175,179,371,NA,NA
611,346,471,769,941,NA
612,301,423,659,NA,NA
613,301,423,659,NA,NA
614,301,423,659,NA,NA
615,301,423,659,NA,NA
616,301,371,659,NA,NA
617,301,371,659,NA,NA
618,301,371,659,NA,NA
619,188,301,371,NA,NA
620,188,301,371,NA,NA
621,188,301,371,NA,NA
622,188,301,371,NA,NA
623,188,301,371,NA,NA
624,188,301,371,NA,NA
625,188,301,371,NA,NA
626,188,301,371,NA,NA
627,179,188,371,NA,NA
628,179,188,371,NA,NA
629,179,188,371,NA,NA
630,179,188,371,NA,NA
631,175,179,371,NA,NA
632,175,179,371,NA,NA
633,175,179,371,NA,NA
634,175,179,371,NA,NA
635,1,635,NA,NA,NA
636,635,636,800,1351,NA
637,370,635,793,NA,NA
638,370,635,793,NA,NA
639,371,635,636,800,NA
640,371,635,659,800,NA
641,371,635,659,NA,NA
642,371,635,659,800,NA
643,370,371,635,NA,NA
644,370,371,635,NA,NA
645,370,635,793,NA,NA
646,370,635,793,NA,NA
647,371,635,659,800,NA
648,371,635,659,NA,NA
649,371,635,659,NA,NA
650,371,635,659,NA,NA
651,371,635,659,NA,NA
652,371,635,659,NA,NA
653,371,635,659,NA,NA
654,371,635,659,NA,NA
655,370,371,635,NA,NA
656,370,371,635,NA,NA
657,370,371,635,NA,NA
658,370,371,635,NA,NA
659,659,NA,NA,NA,NA
660,371,635,659,NA,NA
661,371,509,659,800,NA
662,371,635,659,NA,NA
663,371,635,659,NA,NA
664,371,635,659,NA,NA
665,371,635,659,NA,NA
666,371,635,659,NA,NA
667,371,635,659,NA,NA
668,371,635,659,NA,NA
669,371,635,659,NA,NA
670,371,635,659,NA,NA
671,371,635,659,NA,NA
672,370,371,635,NA,NA
673,370,371,635,NA,NA
674,370,371,635,NA,NA
675,370,371,635,NA,NA
676,676,NA,NA,NA,NA
677,423,659,845,NA,NA
678,423,659,845,NA,NA
679,301,423,659,NA,NA
680,301,371,659,NA,NA
681,301,371,659,NA,NA
682,301,371,659,NA,NA
683,301,371,659,NA,NA
684,301,371,659,NA,NA
685,301,371,659,NA,NA
686,301,371,659,NA,NA
687,301,371,659,NA,NA
688,371,635,659,NA,NA
689,371,635,659,NA,NA
690,371,635,659,NA,NA
691,371,635,659,NA,NA
692,371,635,659,NA,NA
693,370,371,635,NA,NA
